Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29105,16,0.1,14,10696,15,0.3,12,15771,16,0.1,14
"Under 6 years",6871,10,0.2,9,3145,10,0.3,9,3128,10,0.2,9
"6–11 years",3134,14,0.3,12,1446,15,0.5,12,1439,13,0.4,12
"12–19 years",3121,15,0.3,13,1345,15,0.5,12,1470,15,0.4,13
"20–59 years",10940,17,0.1,15,3329,16,0.4,13,6710,17,0.2,15
"60 years and over",5039,17,0.2,14,1431,14,0.4,12,3024,17,0.3,15
