Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",2.4,2.7,2.9,3.2,4,4.9,5.5,5.9,6.5
"12–15 years",4.3,4.6,4.8,5.2,5.9,6.8,7.4,7.9,8.5
"16–19 years",4.6,4.9,5.1,5.5,6.3,7.3,7.9,8.4,9.3
"20–39 years",4.8,5.2,5.4,5.8,6.6,7.7,8.3,8.9,9.8
"40–59 years",4.7,5,5.3,5.7,6.5,7.6,8.3,8.8,9.7
"60–79 years",4.4,4.7,4.9,5.3,6,6.9,7.5,8,8.8
"80 years and older",4,4.2,4.4,4.7,5.4,6,6.6,7,7.7
"20 years and older (crude)",4.6,4.9,5.2,5.6,6.4,7.4,8.2,8.6,9.5
