Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",2.7,2.9,3.1,3.4,4,4.8,5.3,5.6,6.4
"12–15 years",4.3,4.7,5.1,5.8,7.2,8.7,9.4,9.9,10.6
"16–19 years",6.9,7.2,7.5,8,9,10.4,11.2,11.7,12.4
"20–39 years",6.9,7.4,7.7,8.3,9.4,10.8,11.5,12.1,13.3
"40–59 years",7.1,7.6,7.9,8.4,9.4,10.5,11.1,11.7,12.6
"60–79 years",6.3,6.8,7.1,7.6,8.6,9.7,10.4,10.8,11.4
"80 years and older",5.6,6,6.3,6.8,7.5,8.4,8.8,9.2,9.7
"20 years and older (crude)",6.7,7.2,7.6,8.2,9.2,10.4,11.1,11.7,12.6
